Gen 643:   aveUtil = 643.525
Gen 644:   aveUtil = 641.736
Gen 645:   aveUtil = 641.188
Gen 646:   aveUtil = 644.063
Gen 647:   aveUtil = 645.011
Gen 648:   aveUtil = 642.84
Gen 649:   aveUtil = 644.559
Gen 650:   aveUtil = 643.214
Gen 651:   aveUtil = 643.979
Gen 652:   aveUtil = 640.797
Gen 653:   aveUtil = 642.691
Gen 654:   aveUtil = 643.536
Gen 655:   aveUtil = 643.178
Gen 656:   aveUtil = 644.351
Gen 657:   aveUtil = 645.475
Gen 658:   aveUtil = 648.749
Gen 659:   aveUtil = 642.94
Gen 660:   aveUtil = 647.294
Gen 661:   aveUtil = 646.567
Gen 662:   aveUtil = 646.6
Gen 663:   aveUtil = 642.163
Gen 664:   aveUtil = 640.467
Gen 665:   aveUtil = 644.497
Gen 666:   aveUtil = 641.132
Gen 667:   aveUtil = 644.989
Gen 668:   aveUtil = 643.538
Gen 669:   aveUtil = 646.233
Gen 670:   aveUtil = 646.053
Gen 671:   aveUtil = 643.478
Gen 672:   aveUtil = 646.203
Gen 673:   aveUtil = 646.723
Gen 674:   aveUtil = 645.33
Gen 675:   aveUtil = 647.328
Gen 676:   aveUtil = 646.984
Gen 677:   aveUtil = 650.826
Gen 678:   aveUtil = 648.229
Gen 679:   aveUtil = 645.687
Gen 680:   aveUtil = 645.279
Gen 681:   aveUtil = 645.856
Gen 682:   aveUtil = 647.902
Gen 683:   aveUtil = 648.798
Gen 684:   aveUtil = 647.185
Gen 685:   aveUtil = 648.567
Gen 686:   aveUtil = 644.392
Gen 687:   aveUtil = 649.372
Gen 688:   aveUtil = 644.927
Gen 689:   aveUtil = 644.059
Gen 690:   aveUtil = 647.264
Gen 691:   aveUtil = 646.735
Gen 692:   aveUtil = 646.07
Gen 693:   aveUtil = 646.06
Gen 694:   aveUtil = 648.611
Gen 695:   aveUtil = 647.86
Gen 696:   aveUtil = 649.994
Gen 697:   aveUtil = 650.435
Gen 698:   aveUtil = 647.797
Gen 699:   aveUtil = 648.669
